"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: probingFunctionId"
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.openAddressingHashMap:·gc.churn.G1_Survivor_Space","thrpt",1,15,20.988120,3.964167,"MB/sec",1
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.openAddressingHashMap:·gc.churn.G1_Survivor_Space.norm","thrpt",1,15,3135029.746505,550082.206769,"B/op",1
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.openAddressingHashMap:·gc.count","thrpt",1,15,259.000000,NaN,"counts",1
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.openAddressingHashMap:·gc.time","thrpt",1,15,5971.000000,NaN,"ms",1
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.separateChainingHashMap","thrpt",1,15,6.472460,0.342333,"ops/s",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.separateChainingHashMap:·gc.alloc.rate","thrpt",1,15,313.154826,16.523519,"MB/sec",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.separateChainingHashMap:·gc.alloc.rate.norm","thrpt",1,15,53281692.002187,2799.811455,"B/op",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.separateChainingHashMap:·gc.churn.G1_Eden_Space","thrpt",1,15,222.468926,25.015641,"MB/sec",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.separateChainingHashMap:·gc.churn.G1_Eden_Space.norm","thrpt",1,15,37839145.359038,3585409.507548,"B/op",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.separateChainingHashMap:·gc.churn.G1_Old_Gen","thrpt",1,15,1.653570,1.233785,"MB/sec",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.separateChainingHashMap:·gc.churn.G1_Old_Gen.norm","thrpt",1,15,284595.326847,222161.492319,"B/op",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.separateChainingHashMap:·gc.churn.G1_Survivor_Space","thrpt",1,15,28.183234,5.641884,"MB/sec",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.separateChainingHashMap:·gc.churn.G1_Survivor_Space.norm","thrpt",1,15,4795469.078094,940617.333262,"B/op",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.separateChainingHashMap:·gc.count","thrpt",1,15,338.000000,NaN,"counts",
"com.sharpcselegantcode.jmh.HashMapBenchmarkRunner.separateChainingHashMap:·gc.time","thrpt",1,15,6362.000000,NaN,"ms",
